"","haul_join","fish_length","frequency","sex","survey","haul_num","cruise_join","catch_join","vessel","cruise","haul","start_lat","start_lon","end_lat","end_lon","stratum","stratum_area","stratum_min_depth","stratum_max_depth","stratum_descr","stratum_area_name","stratum_type","domain","density","gear_perf","satisf_gear_perf","gear_perf_note","gear_depth","bottom_depth","surface_temp","gear_temp","distance_fished","net_width","species_code","common_name","scient_name","weight","num_of_fish","effort_km2","weight_cpue","num_cpue","download_date"
"1",-19838,180,2,"Female","NBS",2019,-728,-568057,94,201902,78,60.99762,-168.68906,60.99688,-168.73951,70,NA,NA,NA,"<50 m , N of standard area, N to St.Lawrence Is.",NA,NA,NA,NA,0,"Y","Good performance",34,36,11.7,10.8,2.739,15.432,21720,"Pacific cod","Gadus macrocephalus",2.925,36,0.042268248,69.200881,851.7031508,"4-Oct-19"
"2",-19838,200,3,"Male","NBS",2019,-728,-568057,94,201902,78,60.99762,-168.68906,60.99688,-168.73951,70,NA,NA,NA,"<50 m , N of standard area, N to St.Lawrence Is.",NA,NA,NA,NA,0,"Y","Good performance",34,36,11.7,10.8,2.739,15.432,21720,"Pacific cod","Gadus macrocephalus",2.925,36,0.042268248,69.200881,851.7031508,"4-Oct-19"
"3",-19843,200,1,"Male","NBS",2019,-728,-567421,94,201902,57,62.88519,-168.82755,62.86036,-168.83022,70,NA,NA,NA,"<50 m , N of standard area, N to St.Lawrence Is.",NA,NA,NA,NA,0,"Y","Good performance",37,39,7,2.1,2.763,16.554,21720,"Pacific cod","Gadus macrocephalus",80.84,101,0.045738702,1767.431004,2208.195589,"4-Oct-19"
"4",-19843,260,9,"Female","NBS",2019,-728,-567421,94,201902,57,62.88519,-168.82755,62.86036,-168.83022,70,NA,NA,NA,"<50 m , N of standard area, N to St.Lawrence Is.",NA,NA,NA,NA,0,"Y","Good performance",37,39,7,2.1,2.763,16.554,21720,"Pacific cod","Gadus macrocephalus",80.84,101,0.045738702,1767.431004,2208.195589,"4-Oct-19"
"5",-19843,290,3,"Male","NBS",2019,-728,-567421,94,201902,57,62.88519,-168.82755,62.86036,-168.83022,70,NA,NA,NA,"<50 m , N of standard area, N to St.Lawrence Is.",NA,NA,NA,NA,0,"Y","Good performance",37,39,7,2.1,2.763,16.554,21720,"Pacific cod","Gadus macrocephalus",80.84,101,0.045738702,1767.431004,2208.195589,"4-Oct-19"
"6",-19843,350,1,"Female","NBS",2019,-728,-567421,94,201902,57,62.88519,-168.82755,62.86036,-168.83022,70,NA,NA,NA,"<50 m , N of standard area, N to St.Lawrence Is.",NA,NA,NA,NA,0,"Y","Good performance",37,39,7,2.1,2.763,16.554,21720,"Pacific cod","Gadus macrocephalus",80.84,101,0.045738702,1767.431004,2208.195589,"4-Oct-19"
"7",-19843,360,1,"Male","NBS",2019,-728,-567421,94,201902,57,62.88519,-168.82755,62.86036,-168.83022,70,NA,NA,NA,"<50 m , N of standard area, N to St.Lawrence Is.",NA,NA,NA,NA,0,"Y","Good performance",37,39,7,2.1,2.763,16.554,21720,"Pacific cod","Gadus macrocephalus",80.84,101,0.045738702,1767.431004,2208.195589,"4-Oct-19"
"8",-19843,430,1,"Female","NBS",2019,-728,-567421,94,201902,57,62.88519,-168.82755,62.86036,-168.83022,70,NA,NA,NA,"<50 m , N of standard area, N to St.Lawrence Is.",NA,NA,NA,NA,0,"Y","Good performance",37,39,7,2.1,2.763,16.554,21720,"Pacific cod","Gadus macrocephalus",80.84,101,0.045738702,1767.431004,2208.195589,"4-Oct-19"
"9",-19843,450,1,"Male","NBS",2019,-728,-567421,94,201902,57,62.88519,-168.82755,62.86036,-168.83022,70,NA,NA,NA,"<50 m , N of standard area, N to St.Lawrence Is.",NA,NA,NA,NA,0,"Y","Good performance",37,39,7,2.1,2.763,16.554,21720,"Pacific cod","Gadus macrocephalus",80.84,101,0.045738702,1767.431004,2208.195589,"4-Oct-19"
"10",-19843,580,2,"Female","NBS",2019,-728,-567421,94,201902,57,62.88519,-168.82755,62.86036,-168.83022,70,NA,NA,NA,"<50 m , N of standard area, N to St.Lawrence Is.",NA,NA,NA,NA,0,"Y","Good performance",37,39,7,2.1,2.763,16.554,21720,"Pacific cod","Gadus macrocephalus",80.84,101,0.045738702,1767.431004,2208.195589,"4-Oct-19"
"11",-19844,530,2,"Male","NBS",2019,-728,-567455,94,201902,58,62.67784,-168.86977,62.66352,-168.91354,70,NA,NA,NA,"<50 m , N of standard area, N to St.Lawrence Is.",NA,NA,NA,NA,0,"Y","Good performance",35,38,10.5,2.3,2.754,16.418,21720,"Pacific cod","Gadus macrocephalus",321.75,198,0.045215172,7115.974257,4379.061082,"4-Oct-19"
"12",-19844,530,1,"Female","NBS",2019,-728,-567455,94,201902,58,62.67784,-168.86977,62.66352,-168.91354,70,NA,NA,NA,"<50 m , N of standard area, N to St.Lawrence Is.",NA,NA,NA,NA,0,"Y","Good performance",35,38,10.5,2.3,2.754,16.418,21720,"Pacific cod","Gadus macrocephalus",321.75,198,0.045215172,7115.974257,4379.061082,"4-Oct-19"
