LATITUDE,LONGITUDE,STATION,STRATUM,YEAR,DATETIME,WTCPUE,NUMCPUE,COMMON,SCIENTIFIC,SID,BOT_DEPTH,BOT_TEMP,SURF_TEMP,VESSEL,CRUISE,HAUL       
57.02165,-161.5585,G-11,31,2021,3-Jun-21,0.3804,0.8745,arrowtooth flounder,Atheresthes stomias,10110,69,3.9,7.6,94,,21
56.66963,-161.5357,F-11,31,2021,4-Jun-21,3.666,6.5149,arrowtooth flounder,Atheresthes stomias,10110,91,3.7,7.1,94,,22
56.65272,-162.18545,F-10,31,2021,4-Jun-21,2.1165,4.174,arrowtooth flounder,Atheresthes stomias,10110,72,3.6,7.1,94,,23
56.97842,-162.16664,G-10,31,2021,4-Jun-21,3.9604,3.1719,arrowtooth flounder,Atheresthes stomias,10110,61,4.6,6.7,94,,24
57.02231,-164.02823,G-07,31,2021,7-Jun-21,0.4676,1.7081,arrowtooth flounder,Atheresthes stomias,10110,67,3,6.3,94,,38
56.69694,-164.01879,F-07,31,2021,7-Jun-21,3.3226,6.1419,arrowtooth flounder,Atheresthes stomias,10110,72,3.1,6.3,94,,39
56.36464,-163.97142,E-07,31,2021,8-Jun-21,8.0125,18.3611,arrowtooth flounder,Atheresthes stomias,10110,86,2.9,6.3,94,,40
56.03397,-164.04321,D-07,31,2021,8-Jun-21,15.0341,42.348,arrowtooth flounder,Atheresthes stomias,10110,90,3,6.6,94,,41
55.72592,-163.98988,C-07,31,2021,8-Jun-21,70.2627,206.7808,arrowtooth flounder,Atheresthes stomias,10110,93,3.5,6.5,94,,42
55.66898,-164.54634,C-06,31,2021,8-Jun-21,106.5695,206.8436,arrowtooth flounder,Atheresthes stomias,10110,95,4.1,6.8,94,,43
55.96208,-164.59951,D-06,31,2021,8-Jun-21,18.2033,26.673,arrowtooth flounder,Atheresthes stomias,10110,93,3.1,6.8,94,,44
56.31261,-164.55941,E-06,31,2021,9-Jun-21,26.3324,54.5489,arrowtooth flounder,Atheresthes stomias,10110,87,3,6.2,94,,45
56.64288,-164.62587,F-06,31,2021,9-Jun-21,2.7639,4.2884,arrowtooth flounder,Atheresthes stomias,10110,75,2.6,5.9,94,,46
56.96721,-164.62501,G-06,31,2021,9-Jun-21,0.7447,1.5333,arrowtooth flounder,Atheresthes stomias,10110,69,2.4,5.9,94,,47
57.69132,-165.89603,I-04,31,2021,14-Jun-21,0.1542,0.627,arrowtooth flounder,Atheresthes stomias,10110,64,2.2,5.2,94,,67
57.35931,-165.86777,H-04,31,2021,14-Jun-21,2.2124,6.0591,arrowtooth flounder,Atheresthes stomias,10110,68,3,5.9,94,,68
57.02425,-165.85254,G-04,31,2021,14-Jun-21,8.6273,27.5218,arrowtooth flounder,Atheresthes stomias,10110,72,3.5,5.9,94,,69
56.69123,-165.84027,F-04,31,2021,14-Jun-21,10.2512,22.5784,arrowtooth flounder,Atheresthes stomias,10110,78,3.4,6.5,94,,70
56.34513,-165.80052,E-04,31,2021,14-Jun-21,22.7059,76.7466,arrowtooth flounder,Atheresthes stomias,10110,92,3.4,7,94,,71
56.03235,-165.7912,D-04,31,2021,15-Jun-21,58.4526,142.6835,arrowtooth flounder,Atheresthes stomias,10110,106,4.4,7.1,94,,72
55.69082,-165.79631,C-04,50,2021,15-Jun-21,26.929,77.9846,arrowtooth flounder,Atheresthes stomias,10110,118,4.4,6.9,94,,73
55.35859,-165.78853,B-04,50,2021,15-Jun-21,71.8946,154.4645,arrowtooth flounder,Atheresthes stomias,10110,120,4.2,7.1,94,,74
55.01646,-165.75116,A-04,50,2021,15-Jun-21,97.2846,91.3095,arrowtooth flounder,Atheresthes stomias,10110,129,4.2,6.8,94,,75
55.32615,-167.52325,B-01,50,2021,19-Jun-21,18.3578,33.0704,arrowtooth flounder,Atheresthes stomias,10110,148,4,,94,,76
55.65677,-167.58683,C-01,50,2021,19-Jun-21,35.4813,34.4193,arrowtooth flounder,Atheresthes stomias,10110,135,4.2,8,94,,77
55.99575,-167.60499,D-01,50,2021,19-Jun-21,39.59,94.8353,arrowtooth flounder,Atheresthes stomias,10110,133,4.3,8.8,94,,78
56.31731,-167.65667,E-01,50,2021,19-Jun-21,47.7919,94.2269,arrowtooth flounder,Atheresthes stomias,10110,130,4.2,8.9,94,,79
56.64397,-167.66006,F-01,31,2021,20-Jun-21,12.9229,31.6929,arrowtooth flounder,Atheresthes stomias,10110,105,3.5,8.8,94,,80
56.9715,-167.70558,G-01,31,2021,20-Jun-21,21.6413,70.8582,arrowtooth flounder,Atheresthes stomias,10110,78,3.7,8.6,94,,81
57.31344,-167.74046,H-01,31,2021,20-Jun-21,9.3946,33.7029,arrowtooth flounder,Atheresthes stomias,10110,73,4,9,94,,82
57.64447,-167.74331,I-01,31,2021,20-Jun-21,8.4725,13.1977,arrowtooth flounder,Atheresthes stomias,10110,69,3.7,8.9,94,,83
57.97731,-167.797,J-01,41,2021,20-Jun-21,1.1787,2.6024,arrowtooth flounder,Atheresthes stomias,10110,68,3.6,7.9,94,,84
57.97537,-167.16836,J-02,31,2021,21-Jun-21,2.4162,2.4364,arrowtooth flounder,Atheresthes stomias,10110,64,3.3,8.9,94,,85
58.31946,-167.82176,K-01,41,2021,21-Jun-21,1.0701,1.0939,arrowtooth flounder,Atheresthes stomias,10110,60,3.2,7.8,94,,87
59.33889,-169.88546,N-20,41,2021,25-Jun-21,0.2835,0.4021,arrowtooth flounder,Atheresthes stomias,10110,61,3.1,7.3,94,,104
59.00916,-169.83605,M-20,41,2021,25-Jun-21,0.8425,1.2763,arrowtooth flounder,Atheresthes stomias,10110,63,3.5,7.6,94,,105
58.68054,-169.79212,L-20,41,2021,25-Jun-21,1.6969,2.8798,arrowtooth flounder,Atheresthes stomias,10110,67,3.7,7.8,94,,106
58.35132,-169.73129,K-20,41,2021,25-Jun-21,0.7862,0.6739,arrowtooth flounder,Atheresthes stomias,10110,69,3.1,8.4,94,,107
58.01521,-169.71634,J-20,42,2021,26-Jun-21,2.244,2.6633,arrowtooth flounder,Atheresthes stomias,10110,73,3.8,8.8,94,,108
57.84992,-169.32576,JI2019,42,2021,26-Jun-21,2.746,6.1158,arrowtooth flounder,Atheresthes stomias,10110,67,3.3,8.4,94,,109
57.67356,-169.67251,I-20,42,2021,26-Jun-21,0.6208,0.9163,arrowtooth flounder,Atheresthes stomias,10110,71,3.9,9.1,94,,110
57.51226,-169.39293,IH2019,42,2021,26-Jun-21,5.9011,9.3779,arrowtooth flounder,Atheresthes stomias,10110,69,4.2,8.6,94,,111
57.33561,-169.6503,H-20,42,2021,27-Jun-21,6.9296,15.7303,arrowtooth flounder,Atheresthes stomias,10110,62,4.4,8.8,94,,112
57.18815,-169.30313,HG2019,42,2021,27-Jun-21,19.0658,40.9091,arrowtooth flounder,Atheresthes stomias,10110,73,4.1,9.2,94,,113
57.00174,-169.57331,G-20,42,2021,27-Jun-21,8.3725,26.3988,arrowtooth flounder,Atheresthes stomias,10110,60,5.4,8.5,94,,114
