LATITUDE,LONGITUDE,STATION,STRATUM,YEAR,DATETIME,WTCPUE,NUMCPUE,COMMON,SCIENTIFIC,SID,BOT_DEPTH,BOT_TEMP,SURF_TEMP,VESSEL,CRUISE,HAUL       
56.62333,-157.40083,152-102,20,1984,7/30/1984 7:00,0.0191,-9999,crab unid.,,68000,35,-9999,11.6,58,198401,122
56.62333,-157.40083,152-102,20,1984,7/30/1984 7:00,0.0963,-9999,sea anemone unid.,Actiniaria,43000,35,-9999,11.6,58,198401,122
56.62333,-157.40083,152-102,20,1984,7/30/1984 7:00,0.4808,72.5091,Pacific cod,Gadus macrocephalus,21720,35,-9999,11.6,58,198401,122
56.62333,-157.40083,152-102,20,1984,7/30/1984 7:00,0.1925,0.424,red Irish lord,Hemilepidotus hemilepidotus,21346,35,-9999,11.6,58,198401,122
56.62333,-157.40083,152-102,20,1984,7/30/1984 7:00,0.0191,0.424,walleye pollock,Gadus chalcogrammus,21740,35,-9999,11.6,58,198401,122
56.62333,-157.40083,152-102,20,1984,7/30/1984 7:00,0.1925,0.424,yellow Irish lord,Hemilepidotus jordani,21347,35,-9999,11.6,58,198401,122
56.62333,-157.40083,152-102,20,1984,7/30/1984 7:00,0.7692,2.1201,rock sole unid.,Lepidopsetta sp.,10260,35,-9999,11.6,58,198401,122
56.62333,-157.40083,152-102,20,1984,7/30/1984 7:00,33.8321,24.5937,Pacific halibut,Hippoglossus stenolepis,10120,35,-9999,11.6,58,198401,122
56.63,-153.4895,200-102,130,1984,9/15/1984 19:00,17.0697,1.1076,Pacific halibut,Hippoglossus stenolepis,10120,159,-9999,11.6,555,198401,266
56.63,-153.4895,200-102,130,1984,9/15/1984 19:00,0.4584,-9999,Tanner crab,Chionoecetes bairdi,68560,159,-9999,11.6,555,198401,266
56.63,-153.4895,200-102,130,1984,9/15/1984 19:00,1.2435,0.6923,sablefish,Anoplopoma fimbria,20510,159,-9999,11.6,555,198401,266
56.63,-153.4895,200-102,130,1984,9/15/1984 19:00,0.6909,0.6923,rougheye and blackspotted rockfish unid.,,30050,159,-9999,11.6,555,198401,266
56.63,-153.4895,200-102,130,1984,9/15/1984 19:00,57.2258,76.4278,arrowtooth flounder,Atheresthes stomias,10110,159,-9999,11.6,555,198401,266
56.63,-153.4895,200-102,130,1984,9/15/1984 19:00,4.6222,1.7999,Pacific cod,Gadus macrocephalus,21720,159,-9999,11.6,555,198401,266
56.63,-153.4895,200-102,130,1984,9/15/1984 19:00,0.113,0.1385,rock sole unid.,Lepidopsetta sp.,10260,159,-9999,11.6,555,198401,266
56.63,-153.4895,200-102,130,1984,9/15/1984 19:00,16.6427,56.0748,flathead sole,Hippoglossoides elassodon,10130,159,-9999,11.6,555,198401,266
56.63,-153.4895,200-102,130,1984,9/15/1984 19:00,49.7461,54.8287,walleye pollock,Gadus chalcogrammus,21740,159,-9999,11.6,555,198401,266
56.63183,-153.50533,200-102,130,1984,7/24/1984 15:00,13.5975,0.2221,Pacific halibut,Hippoglossus stenolepis,10120,150,-9999,12.8,58,198401,97
56.63183,-153.50533,200-102,130,1984,7/24/1984 15:00,0.3526,-9999,Tanner crab,Chionoecetes bairdi,68560,150,-9999,12.8,58,198401,97
56.63183,-153.50533,200-102,130,1984,7/24/1984 15:00,0.9064,-9999,red king crab,Paralithodes camtschaticus,69322,150,-9999,12.8,58,198401,97
56.63183,-153.50533,200-102,130,1984,7/24/1984 15:00,0.01,-9999,crangonid shrimp unid.,Crangonidae,66500,150,-9999,12.8,58,198401,97
56.63183,-153.50533,200-102,130,1984,7/24/1984 15:00,0.5036,-9999,Alaskan pink shrimp,Pandalus eous,66031,150,-9999,12.8,58,198401,97
56.63183,-153.50533,200-102,130,1984,7/24/1984 15:00,9.7699,5.5513,rougheye and blackspotted rockfish unid.,,30050,150,-9999,12.8,58,198401,97
56.63183,-153.50533,200-102,130,1984,7/24/1984 15:00,0.0504,0.4441,eelpout unid.,Zoarcidae,24100,150,-9999,12.8,58,198401,97
56.63183,-153.50533,200-102,130,1984,7/24/1984 15:00,45.3249,43.3005,arrowtooth flounder,Atheresthes stomias,10110,150,-9999,12.8,58,198401,97
56.63183,-153.50533,200-102,130,1984,7/24/1984 15:00,45.8285,180.0855,flathead sole,Hippoglossoides elassodon,10130,150,-9999,12.8,58,198401,97
56.63183,-153.50533,200-102,130,1984,7/24/1984 15:00,0.151,0.4441,rock sole unid.,Lepidopsetta sp.,10260,150,-9999,12.8,58,198401,97
56.63183,-153.50533,200-102,130,1984,7/24/1984 15:00,0.4028,0.2221,sablefish,Anoplopoma fimbria,20510,150,-9999,12.8,58,198401,97
56.63183,-153.50533,200-102,130,1984,7/24/1984 15:00,0.0302,0.2221,yellow Irish lord,Hemilepidotus jordani,21347,150,-9999,12.8,58,198401,97
56.63183,-153.50533,200-102,130,1984,7/24/1984 15:00,0.705,0.4441,bigmouth sculpin,Hemitripterus bolini,21420,150,-9999,12.8,58,198401,97
56.63183,-153.50533,200-102,130,1984,7/24/1984 15:00,0.5036,0.2221,Pacific cod,Gadus macrocephalus,21720,150,-9999,12.8,58,198401,97
56.63183,-153.50533,200-102,130,1984,7/24/1984 15:00,111.1969,113.6915,walleye pollock,Gadus chalcogrammus,21740,150,-9999,12.8,58,198401,97
56.63183,-153.50533,200-102,130,1984,7/24/1984 15:00,0.1008,3.3308,capelin,Mallotus villosus,23041,150,-9999,12.8,58,198401,97
56.63217,-152.73833,209-102,31,1984,9/10/1984 20:00,3.7253,3.2319,Pacific halibut,Hippoglossus stenolepis,10120,73,-9999,12.2,555,198401,247
56.63217,-152.73833,209-102,31,1984,9/10/1984 20:00,0.7589,2.8517,flathead sole,Hippoglossoides elassodon,10130,73,-9999,12.2,555,198401,247
56.63217,-152.73833,209-102,31,1984,9/10/1984 20:00,1.8281,3.8023,rock sole unid.,Lepidopsetta sp.,10260,73,-9999,12.2,555,198401,247
56.63217,-152.73833,209-102,31,1984,9/10/1984 20:00,1.0262,0.7605,Pacific cod,Gadus macrocephalus,21720,73,-9999,12.2,555,198401,247
56.63217,-152.73833,209-102,31,1984,9/10/1984 20:00,1.2762,2.8517,northern rockfish,Sebastes polyspinis,30420,73,-9999,12.2,555,198401,247
56.63217,-152.73833,209-102,31,1984,9/10/1984 20:00,0.0173,0.1901,harlequin rockfish,Sebastes variegatus,30535,73,-9999,12.2,555,198401,247
56.641,-152.57383,211-102,130,1984,9/10/1984 19:00,0.0301,0.1661,searcher,Bathymaster signatus,20720,115,-9999,12,555,198401,246
56.641,-152.57383,211-102,130,1984,9/10/1984 19:00,0.8439,1.329,northern rockfish,Sebastes polyspinis,30420,115,-9999,12,555,198401,246
57.021,-152.38233,213-111,31,1984,9/11/1984 22:00,15.4211,71.333,rock sole unid.,Lepidopsetta sp.,10260,90,-9999,12.1,555,198401,254
57.021,-152.38233,213-111,31,1984,9/11/1984 22:00,0.9315,1.467,rex sole,Glyptocephalus zachirus,10200,90,-9999,12.1,555,198401,254
57.021,-152.38233,213-111,31,1984,9/11/1984 22:00,2.828,8.0685,flathead sole,Hippoglossoides elassodon,10130,90,-9999,12.1,555,198401,254
57.021,-152.38233,213-111,31,1984,9/11/1984 22:00,17.276,9.9023,Pacific halibut,Hippoglossus stenolepis,10120,90,-9999,12.1,555,198401,254
57.021,-152.38233,213-111,31,1984,9/11/1984 22:00,71.1501,150.7344,arrowtooth flounder,Atheresthes stomias,10110,90,-9999,12.1,555,198401,254
57.021,-152.38233,213-111,31,1984,9/11/1984 22:00,5.2069,9.1688,sablefish,Anoplopoma fimbria,20510,90,-9999,12.1,555,198401,254
57.021,-152.38233,213-111,31,1984,9/11/1984 22:00,0.8984,0.3668,spiny dogfish,Squalus acanthias,310,90,-9999,12.1,555,198401,254
57.021,-152.38233,213-111,31,1984,9/11/1984 22:00,3.4269,-9999,Tanner crab,Chionoecetes bairdi,68560,90,-9999,12.1,555,198401,254
57.021,-152.38233,213-111,31,1984,9/11/1984 22:00,5.0239,7.1516,rougheye and blackspotted rockfish unid.,,30050,90,-9999,12.1,555,198401,254
57.021,-152.38233,213-111,31,1984,9/11/1984 22:00,2.9362,1.467,Pacific cod,Gadus macrocephalus,21720,90,-9999,12.1,555,198401,254
57.021,-152.38233,213-111,31,1984,9/11/1984 22:00,0.5907,0.5501,Aleutian skate,Bathyraja aleutica,472,90,-9999,12.1,555,198401,254
57.02817,-155.984,170-111,220,1984,8/12/1984 7:00,0.0097,0.4322,thorny sculpin,Icelus spiniger,21438,232,-9999,13.1,58,198401,164
57.02817,-155.984,170-111,220,1984,8/12/1984 7:00,40.7807,17.938,Pacific cod,Gadus macrocephalus,21720,232,-9999,13.1,58,198401,164
57.02817,-155.984,170-111,220,1984,8/12/1984 7:00,8.8227,7.5642,walleye pollock,Gadus chalcogrammus,21740,232,-9999,13.1,58,198401,164
57.02817,-155.984,170-111,220,1984,8/12/1984 7:00,0.147,0.2161,snailfish unid.,Liparidae,22200,232,-9999,13.1,58,198401,164
57.02817,-155.984,170-111,220,1984,8/12/1984 7:00,0.7843,13.6156,eulachon,Thaleichthys pacificus,23010,232,-9999,13.1,58,198401,164
57.02817,-155.984,170-111,220,1984,8/12/1984 7:00,4.9995,4.7547,rougheye and blackspotted rockfish unid.,,30050,232,-9999,13.1,58,198401,164
57.02817,-155.984,170-111,220,1984,8/12/1984 7:00,0.9313,-9999,sidestripe shrimp,Pandalopsis dispar,66120,232,-9999,13.1,58,198401,164
57.02817,-155.984,170-111,220,1984,8/12/1984 7:00,0.0687,-9999,Oregon triton,Fusitriton oregonensis,72500,232,-9999,13.1,58,198401,164
57.02817,-155.984,170-111,220,1984,8/12/1984 7:00,4.6565,4.7547,Dover sole,Microstomus pacificus,10180,232,-9999,13.1,58,198401,164
57.02817,-155.984,170-111,220,1984,8/12/1984 7:00,32.7423,11.8867,sablefish,Anoplopoma fimbria,20510,232,-9999,13.1,58,198401,164
57.02817,-155.984,170-111,220,1984,8/12/1984 7:00,64.1611,42.792,arrowtooth flounder,Atheresthes stomias,10110,232,-9999,13.1,58,198401,164
57.02817,-155.984,170-111,220,1984,8/12/1984 7:00,1.8725,0.2161,Pacific halibut,Hippoglossus stenolepis,10120,232,-9999,13.1,58,198401,164
57.02817,-155.984,170-111,220,1984,8/12/1984 7:00,1.3724,0.4322,bigmouth sculpin,Hemitripterus bolini,21420,232,-9999,13.1,58,198401,164
57.02817,-155.984,170-111,220,1984,8/12/1984 7:00,1.2745,3.0257,yellow Irish lord,Hemilepidotus jordani,21347,232,-9999,13.1,58,198401,164
57.02817,-155.984,170-111,220,1984,8/12/1984 7:00,11.9597,-9999,sponge unid.,Porifera,91000,232,-9999,13.1,58,198401,164
57.02817,-155.984,170-111,220,1984,8/12/1984 7:00,0.0588,-9999,sea cucumber unid.,Holothuroidea,85000,232,-9999,13.1,58,198401,164
57.02817,-155.984,170-111,220,1984,8/12/1984 7:00,1.4117,-9999,sea urchin unid.,Echinacea,82500,232,-9999,13.1,58,198401,164
57.02817,-155.984,170-111,220,1984,8/12/1984 7:00,0.2941,-9999,sea star unid.,Asteroidea,80000,232,-9999,13.1,58,198401,164
57.02817,-155.984,170-111,220,1984,8/12/1984 7:00,0.147,-9999,,Neptunea sp.,71800,232,-9999,13.1,58,198401,164
57.02817,-155.984,170-111,220,1984,8/12/1984 7:00,1.3724,-9999,jellyfish unid.,Scyphozoa,40500,232,-9999,13.1,58,198401,164
57.02817,-155.984,170-111,220,1984,8/12/1984 7:00,0.0294,0.4322,spinyhead sculpin,Dasycottus setiger,21390,232,-9999,13.1,58,198401,164
57.02817,-155.984,170-111,220,1984,8/12/1984 7:00,1.8135,3.4579,flathead sole,Hippoglossoides elassodon,10130,232,-9999,13.1,58,198401,164
57.02817,-155.984,170-111,220,1984,8/12/1984 7:00,0.1372,-9999,lampshell unid.,Brachiopoda,97000,232,-9999,13.1,58,198401,164
57.02817,-155.984,170-111,220,1984,8/12/1984 7:00,0.0197,0.4322,northern spearnose poacher,Agonopsis vulsa,20015,232,-9999,13.1,58,198401,164
57.03667,-151.915,219-112,31,1984,7/21/1984 7:00,0.0558,-9999,weathervane scallop,Patinopecten caurinus,74120,82,7.1,13,58,198401,86
57.03667,-151.915,219-112,31,1984,7/21/1984 7:00,0.0111,-9999,nudibranch unid.,Nudibranchia,71010,82,7.1,13,58,198401,86
57.03667,-151.915,219-112,31,1984,7/21/1984 7:00,27.0474,4.67,Pacific halibut,Hippoglossus stenolepis,10120,82,7.1,13,58,198401,86
57.03667,-151.915,219-112,31,1984,7/21/1984 7:00,73.4712,182.3772,rock sole unid.,Lepidopsetta sp.,10260,82,7.1,13,58,198401,86
57.03667,-151.915,219-112,31,1984,7/21/1984 7:00,0.1116,-9999,whelk unid.,,71700,82,7.1,13,58,198401,86
57.03667,-151.915,219-112,31,1984,7/21/1984 7:00,0.7246,2.4579,yellow Irish lord,Hemilepidotus jordani,21347,82,7.1,13,58,198401,86
57.03667,-151.915,219-112,31,1984,7/21/1984 7:00,0.0111,-9999,sea pen or sea whip unid.,Pennatulacea,42000,82,7.1,13,58,198401,86
57.03667,-151.915,219-112,31,1984,7/21/1984 7:00,5.3514,-9999,sea anemone unid.,Actiniaria,43000,82,7.1,13,58,198401,86
57.03667,-151.915,219-112,31,1984,7/21/1984 7:00,0.3345,0.9832,searcher,Bathymaster signatus,20720,82,7.1,13,58,198401,86
57.0425,-153.43433,201-112,30,1984,7/22/1984 13:00,30.4347,50.238,rock sole unid.,Lepidopsetta sp.,10260,119,-9999,12.3,58,198401,91
57.0425,-153.43433,201-112,30,1984,7/22/1984 13:00,1.7142,-9999,Alaskan pink shrimp,Pandalus eous,66031,119,-9999,12.3,58,198401,91
57.0425,-153.43433,201-112,30,1984,7/22/1984 13:00,1.3653,,eelpout unid.,Zoarcidae,24100,119,-9999,12.3,58,198401,91
57.0425,-153.43433,201-112,30,1984,7/22/1984 13:00,0.1745,2.7156,prickleback unid.,Stichaeidae,23800,119,-9999,12.3,58,198401,91
56.79983,-155.464,176-106,220,1984,8/1/1984 7:00,18.621,7.2935,sablefish,Anoplopoma fimbria,20510,245,-9999,13.2,58,198401,131
56.79983,-155.464,176-106,220,1984,8/1/1984 7:00,1.4179,0.2084,bigmouth sculpin,Hemitripterus bolini,21420,245,-9999,13.2,58,198401,131
56.79983,-155.464,176-106,220,1984,8/1/1984 7:00,5.1042,1.4587,Pacific cod,Gadus macrocephalus,21720,245,-9999,13.2,58,198401,131
56.79983,-155.464,176-106,220,1984,8/1/1984 7:00,0.189,-9999,sidestripe shrimp,Pandalopsis dispar,66120,245,-9999,13.2,58,198401,131
56.80183,-155.15183,180-106,22,1984,8/1/1984 11:00,63.0134,76.2886,walleye pollock,Gadus chalcogrammus,21740,86,-9999,11.7,58,198401,132
56.80183,-155.15183,180-106,22,1984,8/1/1984 11:00,61.5715,19.0721,Pacific cod,Gadus macrocephalus,21720,86,-9999,11.7,58,198401,132
56.80183,-155.15183,180-106,22,1984,8/1/1984 11:00,1.4417,-9999,Tanner crab,Chionoecetes bairdi,68560,86,-9999,11.7,58,198401,132
56.80183,-155.15183,180-106,22,1984,8/1/1984 11:00,0.4806,3.2964,prickleback unid.,Stichaeidae,23800,86,-9999,11.7,58,198401,132
56.80183,-155.15183,180-106,22,1984,8/1/1984 11:00,11.0647,2.1191,great sculpin,Myoxocephalus polyacanthocephalus,21370,86,-9999,11.7,58,198401,132
56.80183,-155.15183,180-106,22,1984,8/1/1984 11:00,1.4417,2.1191,sablefish,Anoplopoma fimbria,20510,86,-9999,11.7,58,198401,132
56.80183,-155.15183,180-106,22,1984,8/1/1984 11:00,4.8062,4.2383,Alaska plaice,Pleuronectes quadrituberculatus,10285,86,-9999,11.7,58,198401,132
56.80183,-155.15183,180-106,22,1984,8/1/1984 11:00,1.4417,2.1191,rock sole unid.,Lepidopsetta sp.,10260,86,-9999,11.7,58,198401,132
56.80183,-155.15183,180-106,22,1984,8/1/1984 11:00,4.5712,11.7729,rex sole,Glyptocephalus zachirus,10200,86,-9999,11.7,58,198401,132
56.80183,-155.15183,180-106,22,1984,8/1/1984 11:00,10.1035,12.7148,Dover sole,Microstomus pacificus,10180,86,-9999,11.7,58,198401,132
56.80183,-155.15183,180-106,22,1984,8/1/1984 11:00,76.0004,312.9244,flathead sole,Hippoglossoides elassodon,10130,86,-9999,11.7,58,198401,132
56.80183,-155.15183,180-106,22,1984,8/1/1984 11:00,80.4755,12.7148,Pacific halibut,Hippoglossus stenolepis,10120,86,-9999,11.7,58,198401,132
56.80183,-155.15183,180-106,22,1984,8/1/1984 11:00,402.623,671.2923,arrowtooth flounder,Atheresthes stomias,10110,86,-9999,11.7,58,198401,132
56.806,-135.96017,412-106,250,1984,9/8/1984 9:00,1.5873,6.1235,harlequin rockfish,Sebastes variegatus,30535,212,7.8,-9999,57,198402,57
56.806,-135.96017,412-106,250,1984,9/8/1984 9:00,6.5473,24.4939,sharpchin rockfish,Sebastes zacentrus,30560,212,7.8,-9999,57,198402,57
56.806,-135.96017,412-106,250,1984,9/8/1984 9:00,58.1307,120.7202,Pacific ocean perch,Sebastes alutus,30060,212,7.8,-9999,57,198402,57
56.806,-135.96017,412-106,250,1984,9/8/1984 9:00,4.96,29.7427,shortspine thornyhead,Sebastolobus alascanus,30020,212,7.8,-9999,57,198402,57
56.806,-135.96017,412-106,250,1984,9/8/1984 9:00,23.2124,33.2418,walleye pollock,Gadus chalcogrammus,21740,212,7.8,-9999,57,198402,57
56.806,-135.96017,412-106,250,1984,9/8/1984 9:00,0.992,0.4374,Pacific cod,Gadus macrocephalus,21720,212,7.8,-9999,57,198402,57
56.806,-135.96017,412-106,250,1984,9/8/1984 9:00,0.1986,-9999,spot shrimp,Pandalus platyceros,66040,212,7.8,-9999,57,198402,57
56.806,-135.96017,412-106,250,1984,9/8/1984 9:00,0.3967,4.3739,rex sole,Glyptocephalus zachirus,10200,212,7.8,-9999,57,198402,57
56.806,-135.96017,412-106,250,1984,9/8/1984 9:00,0.3967,1.7496,Dover sole,Microstomus pacificus,10180,212,7.8,-9999,57,198402,57
56.806,-135.96017,412-106,250,1984,9/8/1984 9:00,0.0595,0.4374,slender sole,Lyopsetta exilis,10150,212,7.8,-9999,57,198402,57
56.806,-135.96017,412-106,250,1984,9/8/1984 9:00,31.347,42.8644,arrowtooth flounder,Atheresthes stomias,10110,212,7.8,-9999,57,198402,57
56.806,-135.96017,412-106,250,1984,9/8/1984 9:00,0.1986,0.4374,bank rockfish,Sebastes rufus,30575,212,7.8,-9999,57,198402,57
56.806,-135.96017,412-106,250,1984,9/8/1984 9:00,13.2928,7.8731,sablefish,Anoplopoma fimbria,20510,212,7.8,-9999,57,198402,57
56.806,-135.96017,412-106,250,1984,9/8/1984 9:00,0.119,3.4991,darkfin sculpin,Malacocottus zonurus,21341,212,7.8,-9999,57,198402,57
