"LATITUDE","LONGITUDE","STATION","STRATUM","YEAR","DATETIME","WTCPUE","NUMCPUE","COMMON","SCIENTIFIC","SID","BOT_DEPTH","BOT_TEMP","SURF_TEMP","VESSEL","CRUISE","HAUL"
62.67009,-171.65276,"V-22",70,2021,NA,6.0972,0.8655,"Alaska skate","Bathyraja parmifera",471,NA,NA,NA,94,NA,11
62.67009,-171.65276,"V-22",70,2021,NA,0.1882,0.2164,"Pacific halibut","Hippoglossus stenolepis",10120,NA,NA,NA,94,NA,11
62.67009,-171.65276,"V-22",70,2021,NA,0.3624,3.2455,"Bering flounder","Hippoglossoides robustus",10140,NA,NA,NA,94,NA,11
62.67009,-171.65276,"V-22",70,2021,NA,6.69,11.6837,"yellowfin sole","Limanda aspera",10210,NA,NA,NA,94,NA,11
62.67009,-171.65276,"V-22",70,2021,NA,0.225,5.4091,"Sakhalin sole","Limanda sakhalinensis",10212,NA,NA,NA,94,NA,11
62.67009,-171.65276,"V-22",70,2021,NA,0.2596,0.2164,"starry flounder","Platichthys stellatus",10220,NA,NA,NA,94,NA,11
62.67009,-171.65276,"V-22",70,2021,NA,1.5146,2.5964,"northern rock sole","Lepidopsetta polyxystra",10261,NA,NA,NA,94,NA,11
62.67009,-171.65276,"V-22",70,2021,NA,18.2266,18.6074,"Alaska plaice","Pleuronectes quadrituberculatus",10285,NA,NA,NA,94,NA,11
62.67009,-171.65276,"V-22",70,2021,NA,0.7811,0.6491,"Pacific cod","Gadus macrocephalus",21720,NA,NA,NA,94,NA,11
62.67009,-171.65276,"V-22",70,2021,NA,4.5653,4.9764,"walleye pollock","Gadus chalcogrammus",21740,NA,NA,NA,94,NA,11
62.67009,-171.65276,"V-22",70,2021,NA,0.0032,0.2164,"kelp snailfish","Liparis tunicatus",22238,NA,NA,NA,94,NA,11
62.67009,-171.65276,"V-22",70,2021,NA,0.7432,3.2455,"","Chrysaora melanaster",40504,NA,NA,NA,94,NA,11
62.67009,-171.65276,"V-22",70,2021,NA,0.0054,0.2164,"brown rimmed jelly","Aurelia limbata",40520,NA,NA,NA,94,NA,11
