"YEAR","ebs_domain","ebs_name","qq_cpue","stat_count","area_km2","ave_bio_tkm2","tot_bio_tons"
1982,"NBS","AK Plaice",122.120005516775,13,200207,9.39384657821348,1880713.84188439
1988,"NBS","AK Plaice",399.025240694634,36,200207,11.0840344637398,2219101.28788196
2010,"NBS","AK Plaice",2147.75841378616,141,200207,15.2323291757884,3049618.92729707
2017,"NBS","AK Plaice",2350.24788594861,143,200207,16.4352999017385,3290462.08742736
2018,"NBS","AK Plaice",832.198280845087,49,200207,16.9836383845936,3400243.29006433
2019,"NBS","AK Plaice",2292.5489649454,144,200207,15.920478923232,3187391.3237835
1982,"NW_corner","AK Plaice",0.2997267702616,5,32439.01,0.05994535405232,1944.56793955675
1987,"NW_corner","AK Plaice",4.2761737288776,18,32439.01,0.237565207159867,7706.38013071099
1988,"NW_corner","AK Plaice",3.5963295714368,20,32439.01,0.17981647857184,5833.0685465567
1989,"NW_corner","AK Plaice",2.689805416232,20,32439.01,0.1344902708116,4362.7312397602
1990,"NW_corner","AK Plaice",2.9954072620296,20,32439.01,0.14977036310148,4858.40230635254
1992,"NW_corner","AK Plaice",0.989950227816,20,32439.01,0.0494975113908,1605.65026698127
1993,"NW_corner","AK Plaice",0.9020199306272,20,32439.01,0.04510099653136,1463.03167749075
1994,"NW_corner","AK Plaice",1.325808712624,21,32439.01,0.0631337482201905,2047.99628985224
1995,"NW_corner","AK Plaice",2.5438097891624,20,32439.01,0.12719048945812,4125.93355943685
1996,"NW_corner","AK Plaice",9.5280016684336,20,32439.01,0.47640008342168,15453.9470701167
1997,"NW_corner","AK Plaice",8.9102374758232,20,32439.01,0.44551187379116,14451.9641290302
1998,"NW_corner","AK Plaice",21.5327393469936,20,32439.01,1.07663696734968,34925.0373502259
1999,"NW_corner","AK Plaice",8.7436790843776,20,32439.01,0.43718395421888,14181.8146627458
2000,"NW_corner","AK Plaice",5.9452826886552,20,32439.01,0.29726413443276,9642.95422950565
2001,"NW_corner","AK Plaice",24.1287393905008,20,32439.01,1.20643696952504,39135.6209187925
2002,"NW_corner","AK Plaice",16.7672697438928,20,32439.01,0.83836348719464,27195.6815447418
2003,"NW_corner","AK Plaice",20.8557348093952,20,32439.01,1.04278674046976,33826.969501966
2004,"NW_corner","AK Plaice",38.8826207482064,20,32439.01,1.94413103741032,63065.6861638637
2005,"NW_corner","AK Plaice",73.6179277576248,20,32439.01,3.68089638788124,119404.634735443
2006,"NW_corner","AK Plaice",9.8810937081472,20,32439.01,0.49405468540736,16026.6448804762
2007,"NW_corner","AK Plaice",7.9671899343696,20,32439.01,0.39835949671848,12922.3876976457
2008,"NW_corner","AK Plaice",4.4576156450144,20,32439.01,0.22288078225072,7230.03192423893
2009,"NW_corner","AK Plaice",1.6948613742104,20,32439.01,0.08474306871052,2748.98125333125
2010,"NW_corner","AK Plaice",4.1616097559256,20,32439.01,0.20808048779628,6749.9250244284
2011,"NW_corner","AK Plaice",4.5538689658792,20,32439.01,0.22769344829396,7386.15004614225
2012,"NW_corner","AK Plaice",4.8358725916072,20,32439.01,0.24179362958036,7843.54596789359
2013,"NW_corner","AK Plaice",4.1809975051944,20,32439.01,0.20904987525972,6781.37099404881
2014,"NW_corner","AK Plaice",13.3627613887064,20,32439.01,0.66813806943532,21673.737515793
2015,"NW_corner","AK Plaice",8.6203024981216,20,32439.01,0.43101512490608,13981.7039469796
2016,"NW_corner","AK Plaice",9.9360256644088,20,32439.01,0.49680128322044,16115.7417944007
2017,"NW_corner","AK Plaice",5.276307420956,20,32439.01,0.2638153710478,8557.90945957329
2018,"NW_corner","AK Plaice",29.5515320281544,20,32439.01,1.47757660140772,47931.122148831
2019,"NW_corner","AK Plaice",70.3548128870048,20,32439.01,3.51774064435024,114112.023939484
1982,"NW_inner","AK Plaice",1062.79470187931,30,41328.67,35.4264900626437,1464129.71705728
1983,"NW_inner","AK Plaice",847.918612128465,31,41328.67,27.3522132944666,1130430.59701662
1984,"NW_inner","AK Plaice",899.62916655575,31,41328.67,29.0202956953468,1199370.22409541
1985,"NW_inner","AK Plaice",611.757123710691,31,41328.67,19.734100764861,815584.138257688
1986,"NW_inner","AK Plaice",568.14516507393,31,41328.67,18.3272633894816,757441.420626967
1987,"NW_inner","AK Plaice",541.258665226831,30,41328.67,18.041955507561,745650.025326673
1988,"NW_inner","AK Plaice",343.833312340566,31,41328.67,11.0913971722763,458392.693571942
1989,"NW_inner","AK Plaice",263.433882809662,30,41328.67,8.78112942698875,362912.400315307
1990,"NW_inner","AK Plaice",389.418513014018,30,41328.67,12.9806171004673,536471.640541569
1991,"NW_inner","AK Plaice",522.53009943317,31,41328.67,16.8558096591345,696628.194985183
1992,"NW_inner","AK Plaice",210.356981648554,16,41328.67,13.1473113530347,543360.892296823
1993,"NW_inner","AK Plaice",276.229699409145,31,41328.67,8.91063546481112,368264.712615476
1994,"NW_inner","AK Plaice",553.51534572796,31,41328.67,17.85533373316,737937.195597638
1995,"NW_inner","AK Plaice",420.719642536794,31,41328.67,13.5716013721546,560896.234481326
